month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
3,1,1,0,1,1,2,2,1,1,1,2,2,4,2,1,1,0,0,0,0,0,0,0,0
4,2,3,2,1,1,2,3,4,6,6,7,16,17,11,9,4,0,0,0,0,0,0,0,1
5,1,2,2,2,2,2,1,3,7,14,18,24,25,19,15,5,1,0,0,0,0,0,1,1
6,0,0,1,1,0,0,2,3,4,6,12,16,16,13,9,3,1,0,0,0,0,0,0,0
7,3,3,4,4,3,3,4,4,5,7,10,13,12,10,7,3,2,1,1,1,0,0,1,1
8,2,2,2,2,1,1,0,1,4,5,5,7,9,6,2,0,0,0,0,0,0,0,1,2
9,0,0,0,0,0,0,0,0,0,0,3,6,5,2,0,0,0,0,0,0,0,0,0,0
10,2,2,2,1,1,0,0,1,1,1,2,5,5,2,0,0,0,0,0,0,0,0,1,2
11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,1,5,2,2,2,1,2,1,1,0,1,0,0,1,2,2,2,2,1,1,0,3,2
