,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.
C(hour)[T.1],-0.002679898524544874,0.013572595918011474,-0.19744922347452507,0.8434760129534955,-0.029281697700562714,0.02392190065147297
C(hour)[T.2],0.009649021381782944,0.011918215244420745,0.8096028796173929,0.41816845254249746,-0.013710251257277954,0.03300829402084384
C(hour)[T.3],0.010457968935279128,0.011937447567410386,0.8760640728449955,0.38099520258856223,-0.012938998364180507,0.033854936234738765
C(hour)[T.4],0.010039937642809046,0.012862822167942711,0.7805392558276222,0.4350735305273833,-0.015170730545902086,0.035250605831520176
C(hour)[T.5],0.018729066866566384,0.012929989411086605,1.4484982370138257,0.14747775868256852,-0.006613246699647624,0.04407138043278039
C(hour)[T.6],0.03386808886775921,0.012091941485063212,2.800880975945457,0.005096331204959654,0.01016831905386954,0.057567858681648876
C(hour)[T.7],0.04184540575540727,0.011641822712762253,3.594403280985767,0.0003251358964580505,0.01902785252399286,0.06466295898682167
C(hour)[T.8],0.05307749799661488,0.010943131025007213,4.850302703615841,1.23273199282875e-06,0.031629355309497856,0.07452564068373191
C(hour)[T.9],0.06200895283357593,0.01056676481761284,5.868300648673328,4.402843515527678e-09,0.04129847435794981,0.08271943130920205
C(hour)[T.10],0.06563414170635076,0.010361375563317026,6.334500791450808,2.381109481472164e-10,0.04532621877195597,0.08594206464074555
C(hour)[T.11],0.07379731244548726,0.010251569548975622,7.198635496050591,6.08180912706157e-13,0.05370460534448752,0.09389001954648701
C(hour)[T.12],0.07238535319276722,0.010225208968677617,7.0791074700284105,1.4508584032729338e-12,0.05234431187976314,0.0924263945057713
C(hour)[T.13],0.06562262254868244,0.010403679621228935,6.30763584979857,2.8332986165240193e-10,0.04523178518438041,0.08601345991298447
C(hour)[T.14],0.06578067967618312,0.0105908032794098,6.211113353797363,5.261050388517649e-10,0.04502308668119122,0.08653827267117502
C(hour)[T.15],0.05418508997438534,0.011455796758893737,4.729927661497539,2.24599851895575e-06,0.031732140912742936,0.07663803903602776
C(hour)[T.16],0.0429830896010844,0.015410272119425698,2.7892492272671348,0.005283039258019788,0.012779511255048306,0.07318666794712049
C(hour)[T.17],0.041442399184551997,0.019233468766791835,2.1547022893813987,0.03118513854138073,0.0037454931038639894,0.07913930526524
C(hour)[T.18],0.04031466735039128,0.019336095948182988,2.0849434890283343,0.037074430452378605,0.002416615690341753,0.0782127190104408
C(hour)[T.19],0.03535633339015912,0.019277729176556742,1.8340507362846057,0.06664646316869774,-0.0024273214996090864,0.07313998827992732
C(hour)[T.20],0.024178656212510585,0.019132086303474474,1.2637752009366396,0.20631072461867972,-0.01331954389141144,0.06167685631643261
C(hour)[T.21],-0.27739833189857316,122.98759877702163,-0.002255498397049775,0.9982003741779432,-241.32866247992337,240.7738658161262
C(hour)[T.22],0.010997723965597216,0.01349317060808644,0.815058542208478,0.41503880087374634,-0.015448404463506626,0.037443852394701056
C(hour)[T.23],-0.004615400767792476,0.015079025284608654,-0.30608084280510306,0.7595430936221464,-0.03416974724759428,0.024938945712009324
C(daytype)[T.workday],0.012540401550989731,0.004043567544313305,3.1013211510775918,0.0019265921581158175,0.0046151547950805845,0.020465648306898877
C(month)[T.2],-0.688288797342884,26995638.028996363,-2.5496296720365864e-08,0.9999999796568985,-52910478.96480152,52910477.58822392
C(month)[T.3],-0.0364384913380597,0.014990563839966008,-2.4307618930858257,0.01506711260610194,-0.06581945657234153,-0.00705752610377787
C(month)[T.4],-0.021993036031193007,0.01287199767834709,-1.708595400711505,0.08752592120381089,-0.047221687889836494,0.0032356158274504804
C(month)[T.5],-0.02002032424921169,0.012642705162990197,-1.5835475075238226,0.11329672745692144,-0.04479957103583107,0.00475892253740769
C(month)[T.6],-0.029415338991899638,0.012721951065369974,-2.312171996319827,0.020768206852419493,-0.05434990489310576,-0.004480773090693519
C(month)[T.7],-0.04222013984217415,0.013014211050239467,-3.2441566898822716,0.001177989255314566,-0.06772752478784669,-0.016712754896501602
C(month)[T.8],-0.04037638756328582,0.01339064617362475,-3.0152680490366675,0.0025675223702432966,-0.06662157179330941,-0.014131203333262225
C(month)[T.9],-0.06349845935579065,0.01499858287626551,-4.233630595612717,2.2994854681698377e-05,-0.09289514161241022,-0.03410177709917108
C(month)[T.10],-0.05058149035003122,0.017396086848664276,-2.907636113228247,0.003641718228632459,-0.08467719404534409,-0.01648578665471835
C(month)[T.11],-0.5419585840644131,249237.55958683716,-2.174465939093697e-06,0.9999982650271992,-488497.18234344054,488496.09842627245
C(month)[T.12],0.02487259623942047,0.012676538679503668,1.9620968206121012,0.049751213044683856,2.7036978964344732e-05,0.0497181554998766
resload_gw,-0.05276678682858926,0.0031958794043670954,-16.51088171740294,3.063741580443477e-61,-0.05903059536008209,-0.04650297829709644
